frame_number,activity
124,tensor(1.6408)
124,tensor(1.4558)
124,tensor(0.7872)
125,tensor(1.5722)
125,tensor(4.4239)
125,tensor(0.6482)
126,tensor(2.5514)
126,tensor(5.9143)
126,tensor(2.1358)
127,tensor(1.0790)
127,tensor(3.4241)
127,tensor(3.2150)
128,tensor(1.6776)
128,tensor(1.3692)
128,tensor(2.3837)
129,tensor(1.1537)
129,tensor(8.1416)
129,tensor(7.4266)
130,tensor(3.5929)
130,tensor(6.2574)
131,tensor(3.8655)
131,tensor(1.9485)
132,tensor(1.4677)
132,tensor(8.5787)
133,tensor(2.8123)
133,tensor(1.5442)
133,tensor(6.0349)
134,tensor(0.3478)
134,tensor(3.7270)
135,tensor(1.3015)
135,tensor(3.1920)
136,tensor(1.0024)
136,tensor(1.0380)
137,tensor(2.5106)
137,tensor(4.5157)
137,tensor(4.0332)
138,tensor(1.3253)
138,tensor(4.4111)
138,tensor(4.0529)
139,tensor(1.7399)
139,tensor(3.8496)
139,tensor(3.6002)
140,tensor(0.9142)
140,tensor(6.1897)
140,tensor(10.2255)
141,tensor(0.8624)
141,tensor(5.0119)
141,tensor(1.3647)
142,tensor(1.3179)
142,tensor(1.7482)
142,tensor(1.2085)
143,tensor(2.9608)
143,tensor(2.2771)
143,tensor(3.1170)
144,tensor(1.3853)
144,tensor(3.4876)
144,tensor(3.1573)
145,tensor(2.2834)
145,tensor(2.8248)
145,tensor(1.4449)
146,tensor(2.2884)
146,tensor(4.1095)
146,tensor(3.1271)
147,tensor(1.4704)
147,tensor(3.6315)
147,tensor(2.5352)
148,tensor(1.4473)
148,tensor(2.0357)
148,tensor(2.3037)
149,tensor(2.3239)
149,tensor(3.3680)
149,tensor(2.6926)
150,tensor(1.1774)
150,tensor(3.8881)
150,tensor(3.1166)
151,tensor(2.3314)
151,tensor(0.6403)
151,tensor(2.8426)
152,tensor(1.5107)
152,tensor(3.1418)
152,tensor(2.7514)
153,tensor(1.5003)
153,tensor(3.6884)
153,tensor(2.2028)
154,tensor(1.3447)
154,tensor(2.3000)
154,tensor(1.0237)
155,tensor(2.9002)
155,tensor(4.5421)
155,tensor(1.2098)
156,tensor(2.2096)
156,tensor(2.1289)
156,tensor(1.9460)
157,tensor(2.5369)
157,tensor(5.3710)
157,tensor(2.7217)
158,tensor(2.2965)
158,tensor(1.2057)
158,tensor(1.4756)
159,tensor(1.9366)
159,tensor(1.6005)
160,tensor(2.0494)
160,tensor(2.6520)
161,tensor(0.5827)
161,tensor(2.3943)
162,tensor(1.0602)
162,tensor(2.0327)
163,tensor(1.3852)
163,tensor(1.6763)
164,tensor(2.3204)
164,tensor(1.7996)
165,tensor(2.7738)
165,tensor(1.5553)
165,tensor(1.2784)
166,tensor(3.0409)
166,tensor(3.0909)
166,tensor(3.0625)
167,tensor(2.6308)
167,tensor(3.4771)
167,tensor(0.8696)
168,tensor(2.4767)
168,tensor(1.4961)
168,tensor(1.8814)
169,tensor(2.2533)
169,tensor(0.7748)
169,tensor(2.2591)
170,tensor(3.5216)
170,tensor(1.4557)
170,tensor(1.6972)
171,tensor(1.5632)
171,tensor(2.1101)
171,tensor(1.4880)
172,tensor(2.3105)
172,tensor(2.2776)
172,tensor(1.8000)
173,tensor(3.6031)
173,tensor(2.2262)
173,tensor(3.1946)
174,tensor(3.1286)
174,tensor(1.9158)
174,tensor(2.1296)
175,tensor(2.5229)
175,tensor(1.9177)
175,tensor(0.5806)
176,tensor(2.7137)
176,tensor(4.0405)
176,tensor(2.2736)
177,tensor(2.6487)
177,tensor(1.6100)
177,tensor(3.5750)
178,tensor(3.7852)
178,tensor(2.4922)
178,tensor(4.1916)
179,tensor(3.7924)
179,tensor(3.3019)
179,tensor(2.2970)
180,tensor(3.1041)
180,tensor(1.9568)
180,tensor(5.2742)
181,tensor(5.0513)
181,tensor(1.1252)
181,tensor(2.8072)
182,tensor(4.8007)
182,tensor(1.0775)
182,tensor(0.8224)
183,tensor(6.9767)
183,tensor(1.5804)
183,tensor(2.4554)
184,tensor(5.2543)
184,tensor(2.3359)
184,tensor(4.3293)
185,tensor(3.0034)
185,tensor(1.3388)
185,tensor(2.4137)
186,tensor(3.4448)
186,tensor(1.1735)
186,tensor(3.6432)
187,tensor(2.2370)
187,tensor(2.6289)
187,tensor(3.3251)
188,tensor(4.8801)
188,tensor(2.4431)
188,tensor(2.9467)
189,tensor(3.1266)
189,tensor(2.3216)
190,tensor(6.6463)
190,tensor(3.0223)
191,tensor(6.4327)
191,tensor(2.4984)
192,tensor(5.7236)
192,tensor(1.8373)
193,tensor(2.5528)
193,tensor(1.9200)
194,tensor(3.5927)
194,tensor(1.8538)
195,tensor(3.4191)
195,tensor(1.4888)
196,tensor(2.9462)
196,tensor(3.2488)
197,tensor(2.7531)
197,tensor(2.0846)
198,tensor(1.2649)
198,tensor(1.8401)
199,tensor(3.2213)
199,tensor(2.4021)
200,tensor(4.0740)
200,tensor(2.4392)
201,tensor(4.4113)
201,tensor(2.1475)
202,tensor(3.7023)
202,tensor(2.4818)
203,tensor(3.0121)
203,tensor(3.5333)
204,tensor(3.2005)
204,tensor(8.2230)
205,tensor(3.4063)
205,tensor(6.8471)
206,tensor(4.6631)
206,tensor(6.0020)
207,tensor(3.9668)
207,tensor(2.4722)
208,tensor(3.0815)
208,tensor(11.8688)
209,tensor(3.1632)
209,tensor(7.3919)
210,tensor(4.8537)
210,tensor(4.3838)
211,tensor(3.4541)
211,tensor(2.6958)
212,tensor(4.1236)
212,tensor(2.1307)
213,tensor(3.9632)
213,tensor(2.7929)
214,tensor(3.2303)
214,tensor(2.9203)
215,tensor(4.1155)
215,tensor(2.4453)
216,tensor(2.8493)
216,tensor(1.1428)
217,tensor(1.7108)
217,tensor(1.9756)
218,tensor(4.0451)
218,tensor(1.6704)
219,tensor(3.1639)
219,tensor(2.9553)
220,tensor(4.4371)
220,tensor(1.7267)
221,tensor(3.8016)
221,tensor(1.7589)
222,tensor(3.6880)
222,tensor(1.9691)
223,tensor(3.6293)
223,tensor(2.0143)
224,tensor(2.2506)
224,tensor(2.1233)
225,tensor(3.8018)
225,tensor(2.6634)
226,tensor(3.4177)
226,tensor(2.1215)
227,tensor(2.9768)
227,tensor(2.0928)
228,tensor(2.7823)
228,tensor(1.1713)
229,tensor(2.8775)
229,tensor(1.5388)
230,tensor(3.7296)
230,tensor(2.0648)
231,tensor(2.6964)
231,tensor(2.6725)
232,tensor(2.2824)
232,tensor(1.9805)
233,tensor(2.0634)
233,tensor(3.9526)
234,tensor(1.7587)
234,tensor(3.1704)
235,tensor(2.3052)
235,tensor(2.3793)
236,tensor(1.1156)
236,tensor(2.2124)
237,tensor(1.3050)
237,tensor(2.1563)
238,tensor(1.8966)
238,tensor(2.0158)
239,tensor(2.7432)
239,tensor(2.3528)
240,tensor(1.0614)
240,tensor(2.1763)
241,tensor(1.4797)
241,tensor(2.3717)
242,tensor(1.6541)
242,tensor(0.8483)
243,tensor(3.0090)
243,tensor(2.2078)
244,tensor(2.6221)
244,tensor(1.1487)
245,tensor(2.4798)
245,tensor(1.7598)
246,tensor(3.3916)
246,tensor(1.6914)
247,tensor(1.7865)
247,tensor(2.5976)
248,tensor(1.4308)
248,tensor(2.9304)
249,tensor(2.3940)
249,tensor(6.4915)
250,tensor(3.6456)
250,tensor(4.7058)
251,tensor(3.7284)
251,tensor(3.3091)
252,tensor(3.1004)
252,tensor(2.1456)
253,tensor(1.8363)
253,tensor(9.3584)
254,tensor(1.9836)
254,tensor(4.4930)
255,tensor(2.2016)
255,tensor(2.1738)
256,tensor(2.1930)
256,tensor(2.4790)
257,tensor(1.9273)
257,tensor(1.4496)
258,tensor(0.5494)
258,tensor(1.0301)
259,tensor(1.4283)
259,tensor(1.3148)
260,tensor(1.8410)
260,tensor(1.1050)
261,tensor(1.3564)
261,tensor(1.4675)
262,tensor(0.8945)
262,tensor(1.7031)
263,tensor(0.7524)
263,tensor(0.8662)
264,tensor(0.8542)
264,tensor(1.7625)
265,tensor(1.4896)
265,tensor(1.4513)
265,3175
266,tensor(1.3551)
266,tensor(1.1578)
266,tensor(4.6451)
267,tensor(1.1464)
267,tensor(3.6365)
267,tensor(3.2799)
268,tensor(2.1547)
268,tensor(4.5488)
268,tensor(2.2171)
269,tensor(1.2439)
269,tensor(2.5404)
269,tensor(2.3864)
270,tensor(2.1312)
270,tensor(2.3630)
270,tensor(1.2985)
271,tensor(2.7304)
271,tensor(2.2044)
271,tensor(2.1376)
272,tensor(1.8714)
272,tensor(8.1643)
272,tensor(6.4018)
273,tensor(0.9596)
273,tensor(6.3864)
273,tensor(7.4550)
274,tensor(1.9978)
274,tensor(7.6146)
274,tensor(7.0244)
275,tensor(1.2737)
275,tensor(8.0609)
275,tensor(4.8112)
276,tensor(1.6641)
276,tensor(5.3481)
276,tensor(4.6656)
277,tensor(1.4984)
277,tensor(3.5883)
277,tensor(2.7038)
278,tensor(2.2165)
278,tensor(2.5428)
278,tensor(2.0863)
279,tensor(1.4267)
279,tensor(4.0862)
279,tensor(2.7538)
280,tensor(2.1835)
280,tensor(2.9629)
280,tensor(5.0807)
281,tensor(2.2453)
281,tensor(2.4353)
281,tensor(1.5991)
282,tensor(2.6115)
282,tensor(1.9972)
282,tensor(0.6658)
283,tensor(2.7741)
283,tensor(0.8990)
283,tensor(2.3692)
284,tensor(2.7715)
284,tensor(1.6830)
284,tensor(3.6005)
285,tensor(1.5848)
285,tensor(1.8633)
285,tensor(1.1335)
286,tensor(1.9471)
286,tensor(2.3807)
286,tensor(1.2288)
287,tensor(1.7375)
287,tensor(2.8839)
287,tensor(1.9610)
288,tensor(3.0160)
288,tensor(8.5767)
288,tensor(3.5429)
289,tensor(1.6958)
289,tensor(9.4585)
289,tensor(13.5619)
290,tensor(1.9736)
290,tensor(7.1268)
290,tensor(1.7309)
291,tensor(2.2541)
291,tensor(4.6027)
291,tensor(1.8782)
292,tensor(2.7393)
292,tensor(2.3997)
292,tensor(1.7631)
293,tensor(2.6517)
293,tensor(1.4388)
293,tensor(1.9027)
294,tensor(1.5322)
294,tensor(1.9670)
294,tensor(5.3756)
295,tensor(2.2210)
295,tensor(11.6431)
296,tensor(1.4316)
296,tensor(8.6019)
296,tensor(4.1349)
297,tensor(1.6014)
297,tensor(4.9423)
297,tensor(3.9851)
298,tensor(2.0376)
298,tensor(4.2227)
298,tensor(3.5313)
299,tensor(1.8985)
299,tensor(11.4863)
299,tensor(13.7392)
300,tensor(1.5103)
300,tensor(9.3506)
301,tensor(2.3925)
301,tensor(7.9450)
301,tensor(9.5868)
302,tensor(2.2413)
302,tensor(4.9025)
302,tensor(4.5363)
303,tensor(2.0664)
303,tensor(3.0959)
303,tensor(2.3178)
304,tensor(2.3914)
304,tensor(3.1499)
304,tensor(2.9866)
305,tensor(2.5651)
305,tensor(1.7759)
305,tensor(1.4634)
306,tensor(2.6515)
306,tensor(1.2091)
306,tensor(2.9809)
307,tensor(1.6525)
307,tensor(1.7318)
307,tensor(3.1096)
308,tensor(2.0557)
308,tensor(1.5553)
308,tensor(5.9917)
309,tensor(1.9827)
309,tensor(1.1384)
309,tensor(3.3774)
310,tensor(1.5986)
310,tensor(1.3915)
310,tensor(1.9528)
311,tensor(1.4412)
311,tensor(2.4673)
311,tensor(3.0373)
312,tensor(1.2419)
312,tensor(1.8712)
312,tensor(5.5246)
313,tensor(1.7274)
313,tensor(2.1674)
313,tensor(3.2573)
314,tensor(2.7562)
314,tensor(1.8455)
314,tensor(1.9975)
315,tensor(2.5850)
315,tensor(1.4842)
315,tensor(1.3037)
316,tensor(1.9026)
316,tensor(2.1269)
317,tensor(1.1163)
317,tensor(1.9786)
317,tensor(1.3564)
318,tensor(1.2645)
318,tensor(1.6652)
318,tensor(3.3897)
319,tensor(1.2467)
319,tensor(1.8641)
319,tensor(2.7666)
320,tensor(1.2875)
320,tensor(4.2957)
320,tensor(4.5966)
321,tensor(1.9930)
321,tensor(2.2999)
321,tensor(4.3540)
322,tensor(2.9692)
322,tensor(3.3127)
322,tensor(4.3750)
323,tensor(3.1052)
323,tensor(2.5646)
323,tensor(2.4302)
324,tensor(2.2292)
324,tensor(2.4276)
324,tensor(3.1664)
325,tensor(2.0992)
325,tensor(2.3647)
326,tensor(2.3381)
326,tensor(1.5856)
327,tensor(3.9849)
327,tensor(4.0435)
328,tensor(3.4056)
328,tensor(3.0488)
329,tensor(1.9873)
329,tensor(3.0562)
330,tensor(2.0572)
330,tensor(1.9961)
331,tensor(2.3603)
331,tensor(2.8255)
332,tensor(1.0484)
332,tensor(2.2824)
333,tensor(1.5115)
333,tensor(3.1357)
334,tensor(1.7355)
334,tensor(1.6643)
335,tensor(1.4427)
335,tensor(2.1371)
336,tensor(1.2609)
336,tensor(2.3755)
337,tensor(1.6507)
337,tensor(2.6314)
338,tensor(1.1622)
338,tensor(3.4955)
339,tensor(1.7372)
339,tensor(3.9123)
340,tensor(1.6832)
340,tensor(2.3114)
341,tensor(1.6117)
341,tensor(1.1251)
342,tensor(1.8531)
342,tensor(1.9046)
343,tensor(1.7512)
343,tensor(1.8895)
344,tensor(1.8651)
344,tensor(1.7049)
345,tensor(2.1548)
345,tensor(2.4807)
346,tensor(2.1681)
346,tensor(2.9232)
347,tensor(2.2050)
347,tensor(1.1128)
348,tensor(2.7421)
348,tensor(1.5389)
349,tensor(2.0860)
349,tensor(3.2898)
350,tensor(2.6304)
350,tensor(2.4413)
351,tensor(3.8317)
351,tensor(3.3216)
352,tensor(3.8327)
352,tensor(0.5742)
353,tensor(2.4055)
353,tensor(7.3000)
354,tensor(2.5048)
354,tensor(5.7398)
355,tensor(2.9926)
355,tensor(10.4285)
356,tensor(2.2947)
356,tensor(5.6672)
357,tensor(2.7418)
357,tensor(3.1169)
358,tensor(1.2982)
358,tensor(2.4259)
359,tensor(1.3310)
359,tensor(1.5138)
360,tensor(2.1596)
360,tensor(2.5397)
361,tensor(2.5842)
361,tensor(1.6012)
362,tensor(1.4744)
362,tensor(1.8318)
363,tensor(1.5536)
363,tensor(1.3541)
364,tensor(1.7172)
364,tensor(7.0999)
365,tensor(0.6838)
365,tensor(11.5998)
366,tensor(2.8291)
366,tensor(6.2757)
367,tensor(2.4208)
367,tensor(2.1679)
367,3187
368,tensor(2.5390)
368,tensor(4.6296)
368,tensor(3.2730)
369,tensor(2.1601)
369,tensor(5.4677)
369,tensor(3.2444)
370,tensor(3.4039)
370,tensor(4.0424)
370,tensor(2.7934)
371,tensor(0.8286)
371,tensor(4.4908)
372,tensor(3.1160)
372,tensor(10.4165)
373,tensor(2.6423)
373,tensor(17.3553)
373,tensor(1.2599)
374,tensor(1.9936)
374,tensor(8.9517)
374,tensor(4.0223)
375,tensor(1.9402)
375,tensor(3.2434)
375,tensor(2.5579)
376,tensor(2.5856)
376,tensor(2.3326)
376,tensor(3.6552)
377,tensor(1.6119)
377,tensor(2.7837)
377,tensor(3.1582)
378,tensor(4.3683)
378,tensor(2.4703)
378,tensor(5.2259)
379,tensor(1.2389)
379,tensor(3.1216)
379,tensor(2.4967)
380,tensor(2.4850)
380,tensor(6.0664)
381,tensor(2.2397)
381,tensor(8.5003)
381,tensor(4.3198)
382,tensor(2.2324)
382,tensor(5.9365)
383,tensor(3.0003)
383,tensor(1.9271)
384,tensor(4.7420)
384,tensor(2.4140)
385,tensor(4.6408)
385,tensor(1.5613)
386,tensor(2.9507)
386,tensor(0.8830)
386,tensor(2.6983)
387,tensor(3.2535)
387,tensor(2.1145)
387,tensor(6.2737)
388,tensor(3.0386)
388,tensor(0.9120)
388,tensor(3.6380)
389,tensor(3.6590)
389,tensor(2.4598)
389,tensor(2.8708)
390,tensor(3.5264)
390,tensor(1.8247)
391,tensor(4.2766)
391,tensor(3.2168)
